instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,1,variance,global,,-72.6865381741363,-72.65386960055977,-0.03190024668646215,-72.66366484417816
0,1,variance,subsample,0.0,-72.6865381741363,-72.65662355874181,0.17068674101881406,-72.67098889931572
0,1,variance,subsample,1.0,-72.6865381741363,-72.65386960055977,-0.5316289509879665,-72.65454986993245
0,1,variance,subsample,2.0,-72.67917649452943,-72.65386960055977,0.18186123078273578,-72.66707023334855
0,1,variance,subsample,3.0,-72.6865381741363,-72.65386960055977,-0.24762126096778314,-72.66100136861732
0,1,variance,subsample,4.0,-72.67342662994398,-72.65427480079252,-0.2399699958345017,-72.65812190328491
0,1,variance,subsample,5.0,-72.67237461092907,-72.65427480079252,0.02711666259308231,-72.66186844306421
0,1,variance,subsample,6.0,-72.6865381741363,-72.65427480079252,-0.20900198994857935,-72.65890271452987
0,1,variance,subsample,7.0,-72.67772442520953,-72.65386960055977,-0.05718527997900711,-72.66319275871774
0,1,variance,subsample,8.0,-72.6725357528342,-72.65386960055977,-0.1397443053955387,-72.65818847628749
0,1,variance,subsample,9.0,-72.6865381741363,-72.65501679450594,-0.02655523602637706,-72.66411465373969
0,1,variance,subsample,10.0,-72.6865381741363,-72.65386960055977,-0.07353510657839152,-72.66154581395479
0,1,variance,subsample,11.0,-72.67917649452943,-72.65427480079252,-0.15385251738439373,-72.66396941496151
0,1,variance,subsample,12.0,-72.67342662994398,-72.65386960055977,-0.22530021710597548,-72.65762809882355
0,1,variance,subsample,13.0,-72.67772442520953,-72.65427480079252,0.053839735105125325,-72.66373600143662
0,1,variance,subsample,14.0,-72.67917649452943,-72.65386960055977,-0.011082954400765847,-72.66567791060662
0,1,variance,subsample,15.0,-72.6865381741363,-72.65386960055977,-0.4353739045443462,-72.65625991609853
0,1,variance,subsample,16.0,-72.67222113078768,-72.65386960055977,-0.12008882029538871,-72.65838570138791
0,1,variance,subsample,17.0,-72.67917649452943,-72.65386960055977,0.09669915772905124,-72.66641685313712
0,1,variance,subsample,18.0,-72.6865381741363,-72.65386960055977,-0.20871201686967428,-72.66073508040874
0,1,variance,subsample,19.0,-72.67772442520953,-72.65386960055977,0.16015271949088958,-72.6645688344054
0,1,variance,subsample,20.0,-72.67342662994398,-72.65386960055977,-0.07831617533807177,-72.6613982650673
0,1,variance,subsample,21.0,-72.67237461092907,-72.65501679450594,-0.005410065833093324,-72.66256498282922
0,1,variance,subsample,22.0,-72.67917649452943,-72.6549484306756,0.38851908665172885,-72.67184192650265
0,1,variance,subsample,23.0,-72.67772442520953,-72.65386960055977,-0.25988255052657344,-72.65831525277807
0,1,variance,subsample,24.0,-72.6865381741363,-72.65386960055977,0.047396600284175354,-72.66665687047171
0,1,variance,subsample,25.0,-72.67342662994398,-72.65386960055977,-0.31737135619950446,-72.65570837455766
0,1,variance,subsample,26.0,-72.67342662994398,-72.65386960055977,-0.22797911080922753,-72.65653323852106
0,1,variance,subsample,27.0,-72.67772442520953,-72.65427480079252,-0.3826877348689805,-72.65778973732716
0,1,variance,subsample,28.0,-72.6865381741363,-72.65386960055977,-0.23545313399859932,-72.6572988867567
0,1,variance,subsample,29.0,-72.6865381741363,-72.65386960055977,-0.9086144687177754,-72.64903179491508
0,1,variance,subsample,30.0,-72.67917649452943,-72.65386960055977,0.08446329990332205,-72.66449617073211
0,1,variance,subsample,31.0,-72.67917649452943,-72.65386960055977,0.1758581802812851,-72.6654097740176
0,1,variance,subsample,32.0,-72.6865381741363,-72.65386960055977,-0.2812370415007238,-72.6612106539338
0,1,variance,subsample,33.0,-72.67772442520953,-72.65662355874181,0.2548294403738106,-72.67103294014811
0,1,variance,subsample,34.0,-72.6865381741363,-72.65427480079252,-0.05759962225529832,-72.66464070274812
0,1,variance,subsample,35.0,-72.6865381741363,-72.65386960055977,-0.6113385631659851,-72.65262654582791
